cik,company_name,form_type,date_filed,edgar_url
1124941,BEACON ROOFING SUPPLY INC,10-K,2011-11-29,edgar/data/1124941/0001144204-11-067281.txt
1126411,CHINA NUVO SOLAR ENERGY INC,10-K/A,2011-12-01,edgar/data/1126411/0001078782-11-003475.txt
1126411,CHINA NUVO SOLAR ENERGY INC,10-K,2011-11-14,edgar/data/1126411/0001078782-11-003286.txt
1126411,CHINA NUVO SOLAR ENERGY INC,NT 10-K,2011-10-31,edgar/data/1126411/0001078782-11-003096.txt
1126533,"Andover Holdings, Inc./FL",10-K,2011-12-27,edgar/data/1126533/0000943440-11-000960.txt
1126703,SHOSHONE SILVER MINING CO INC,10-K,2011-12-23,edgar/data/1126703/0001472375-11-000235.txt
1126956,LACLEDE GROUP INC,10-K,2011-11-21,edgar/data/1126956/0001126956-11-000074.txt
1127342,GMX RESOURCES INC,10-K/A,2011-10-27,edgar/data/1127342/0001193125-11-283914.txt
1127475,RTG VENTURES INC,10-K,2011-12-15,edgar/data/1127475/0001437749-11-009512.txt
1127475,RTG VENTURES INC,NT 10-K,2011-11-30,edgar/data/1127475/0001437749-11-009112.txt
1129096,INFITECH VENTURES INC,10-K,2011-10-31,edgar/data/1129096/0001062993-11-004299.txt
1132509,HAN LOGISTICS INC,10-K/A,2011-12-23,edgar/data/1132509/0001010412-11-000741.txt
1132887,SEAWRIGHT HOLDINGS INC,10-K,2011-10-07,edgar/data/1132887/0001019687-11-003171.txt
1133062,JANEL WORLD TRADE LTD,NT 10-K,2011-12-28,edgar/data/1133062/0001144204-11-071838.txt
1133116,"HARDWIRED INTERACTIVE, INC.",10-K,2011-10-06,edgar/data/1133116/0001262463-11-000201.txt
1133116,"HARDWIRED INTERACTIVE, INC.",10-K,2011-10-17,edgar/data/1133116/0001262463-11-000210.txt
1133798,"TX Holdings, Inc.",10-K,2011-12-08,edgar/data/1133798/0001157523-11-007106.txt
1135202,EL CAPITAN PRECIOUS METALS INC,10-K,2011-12-29,edgar/data/1135202/0001076542-11-000177.txt
1135202,EL CAPITAN PRECIOUS METALS INC,NT 10-K,2011-12-14,edgar/data/1135202/0001076542-11-000163.txt
1136352,INERGY L P,10-K,2011-11-16,edgar/data/1136352/0001193125-11-313155.txt
1136463,FIRST CORP /CN/,NT 10-K,2011-12-29,edgar/data/1136463/0001144204-11-071995.txt
1136711,VOIS Inc.,10-K,2011-12-06,edgar/data/1136711/0001144204-11-068470.txt
1136796,CHARTER FINANCIAL CORP/GA,10-K,2011-12-19,edgar/data/1136796/0001437749-11-009611.txt
1137005,"Healthient, Inc.",10-K,2011-10-13,edgar/data/1137005/0001019687-11-003206.txt
